@relation speechacts

@attribute       sen_len            numeric
@attribute       nn_num             numeric
@attribute       end_in_n           numeric
@attribute       begin_v            numeric
@attribute       wh_num             numeric
@attribute       type               {assertion,question,expressive}

@data
4,2,1,0,1,question
10,4,1,0,0,question
9,3,1,0,1,question
7,3,1,0,0,question
6,2,1,1,0,question
9,3,0,0,0,question
8,2,1,0,1,question
4,1,0,0,1,question
6,4,1,0,0,question
7,1,1,0,1,question
11,3,1,0,1,question
7,2,1,0,1,question
8,3,1,0,1,question
12,3,1,0,1,question
9,2,1,0,0,question
11,4,1,0,1,question
13,4,1,0,1,question
7,2,1,0,0,question
14,4,1,0,1,question
5,3,1,0,0,question
13,6,1,0,1,question
7,2,1,0,1,question
5,2,1,0,0,question
5,1,0,0,1,question
10,3,1,0,2,question
4,2,1,0,1,question
6,2,1,0,0,question
9,5,1,0,1,question
4,2,1,0,1,question
10,3,1,0,1,question
6,1,0,0,1,question
9,3,0,0,1,question
5,2,1,0,0,question
7,2,1,0,1,question
9,3,1,0,1,question
8,2,1,0,1,question
8,3,1,0,1,question
9,2,1,0,0,question
10,3,1,0,2,question
10,3,1,0,2,question
9,3,1,0,1,question
9,3,1,0,1,question
5,1,1,0,1,question
7,2,1,0,1,question
11,3,1,0,2,question
6,2,0,0,0,question
10,3,1,0,1,question
6,1,1,0,2,question
7,2,1,0,0,question
7,2,1,0,1,question
7,2,1,0,1,question
4,1,1,0,1,question
7,4,1,0,1,question
6,2,1,0,1,question
8,2,1,0,1,question
10,2,1,0,1,question
10,3,1,0,1,question
6,2,0,0,1,question
12,4,0,0,1,question
8,3,1,0,1,question
7,4,1,0,0,question
8,3,0,0,0,question
9,5,1,1,0,question
5,1,0,0,1,question
10,3,1,0,1,question
5,1,0,0,1,question
7,3,1,0,1,question
8,3,1,0,1,question
6,2,1,1,0,question
13,5,1,0,1,question
5,3,1,0,1,question
9,3,0,0,1,question
8,3,0,0,0,question
7,2,1,0,1,question
7,2,1,0,1,question
12,3,0,0,0,question
4,2,1,0,0,question
8,3,1,0,1,question
9,1,1,0,0,question
11,5,1,0,1,question
10,3,1,0,2,question
9,3,1,0,0,question
9,2,1,0,1,question
8,2,1,0,2,question
6,1,0,0,1,question
6,1,1,0,1,question
7,3,1,0,0,question
9,2,1,0,1,question
8,3,0,0,0,question
6,2,1,0,1,question
9,2,1,0,2,question
4,1,1,0,0,question
7,3,1,0,0,question
8,3,1,0,1,question
8,2,1,0,1,question
5,2,1,0,0,question
11,5,1,0,1,question
7,4,1,0,1,question
11,3,1,0,1,question
10,4,1,0,1,question
17,4,0,0,2,assertion
9,3,1,0,0,assertion
13,5,1,0,0,assertion
19,4,1,0,1,assertion
11,3,1,0,0,assertion
12,3,0,0,0,assertion
23,5,1,0,0,assertion
18,3,0,0,0,assertion
7,2,1,0,0,assertion
11,5,1,0,0,assertion
11,7,1,0,0,assertion
14,4,1,0,1,assertion
19,4,1,0,0,assertion
13,3,1,0,0,assertion
10,4,0,0,0,assertion
10,3,1,0,0,assertion
7,2,1,0,0,assertion
8,2,0,0,0,assertion
17,9,1,0,0,assertion
9,4,1,0,0,assertion
19,7,1,0,1,assertion
7,2,1,0,0,assertion
20,5,1,0,1,assertion
8,3,0,0,0,assertion
14,5,1,0,0,assertion
6,2,1,0,0,assertion
6,3,1,0,0,assertion
24,4,0,0,0,assertion
22,3,1,0,0,assertion
29,7,0,0,1,assertion
12,4,0,0,0,assertion
28,8,1,0,1,assertion
29,8,1,0,0,assertion
11,5,0,0,0,assertion
19,3,0,0,0,assertion
7,1,1,0,0,assertion
6,3,0,0,0,assertion
22,5,0,0,1,assertion
6,2,0,0,0,assertion
7,3,0,0,0,assertion
17,6,0,1,0,assertion
15,6,0,0,0,assertion
24,6,1,0,0,assertion
6,0,0,0,0,assertion
14,6,1,0,0,assertion
12,5,0,0,0,assertion
4,0,0,0,0,assertion
6,1,0,0,0,assertion
5,3,1,0,0,assertion
13,1,0,0,1,assertion
22,3,0,0,0,assertion
9,2,1,0,0,assertion
15,3,1,0,0,assertion
10,1,1,0,2,assertion
17,3,0,0,1,assertion
11,4,1,0,0,assertion
17,4,0,0,0,assertion
7,3,1,0,0,assertion
11,3,0,0,0,assertion
10,3,1,0,1,assertion
10,3,0,0,0,assertion
14,8,1,0,0,assertion
16,6,0,0,0,assertion
14,3,1,0,0,assertion
11,3,1,0,0,assertion
7,2,1,0,0,assertion
15,5,1,0,0,assertion
15,3,0,1,1,assertion
9,2,0,0,0,assertion
10,4,1,0,0,assertion
20,7,1,0,0,assertion
17,3,1,0,0,assertion
8,2,1,0,0,assertion
37,9,0,0,0,assertion
10,4,0,0,0,assertion
6,0,0,0,1,assertion
9,5,1,0,0,assertion
15,7,0,0,1,assertion
15,2,1,0,0,assertion
20,5,0,0,1,assertion
17,6,0,0,0,assertion
19,7,1,0,0,assertion
10,2,1,0,0,assertion
12,4,1,0,0,assertion
8,3,1,0,0,assertion
19,8,1,0,0,assertion
10,3,1,0,0,assertion
9,2,0,0,1,assertion
11,5,1,0,0,assertion
21,6,1,0,0,assertion
16,3,0,0,0,assertion
5,2,1,0,0,assertion
11,3,1,0,0,assertion
15,4,0,0,0,assertion
14,5,0,0,0,assertion
16,3,1,0,0,assertion
5,0,1,0,0,assertion
15,2,0,0,2,assertion
7,2,1,0,0,assertion
8,3,1,0,0,assertion
1,1,1,0,0,expressive
1,1,1,0,0,expressive
1,0,0,1,0,expressive
2,0,0,1,0,expressive
3,0,1,0,0,expressive
1,1,1,0,0,expressive
3,0,0,0,1,expressive
2,0,1,0,0,expressive
1,1,1,0,0,expressive
1,0,0,0,0,expressive
3,0,0,0,0,expressive
1,1,1,0,0,expressive
3,1,0,0,0,expressive
1,0,0,0,0,expressive
1,0,0,0,0,expressive
1,0,0,0,0,expressive
1,1,1,0,0,expressive
1,1,1,0,0,expressive
1,1,1,0,0,expressive
1,0,1,0,0,expressive
1,0,0,0,0,expressive
1,0,1,0,0,expressive
1,0,1,0,0,expressive
1,0,1,0,0,expressive
1,1,1,0,0,expressive
3,0,1,0,0,expressive
1,0,1,0,0,expressive
1,0,1,0,0,expressive
1,1,1,0,0,expressive
1,0,1,0,0,expressive
1,0,0,1,0,expressive
1,0,1,0,0,expressive
1,0,0,1,0,expressive
1,0,1,0,0,expressive
1,0,1,0,0,expressive
1,0,1,0,0,expressive
1,0,0,1,0,expressive
1,0,1,0,0,expressive
2,0,1,0,0,expressive
2,1,1,0,0,expressive
2,0,0,0,0,expressive
